,output
332,"핸드타이드 집중과정 (꽃다발 포장)
(06131) 서울특별시 강남구 테헤란로13길 22 (역삼동) 2,3층 
02-1599-5043
andanteceo@nate.com
437,280 원
총36시간"
333,"소방설비(산업)기사 취득(실기_전기 합격노트)
(47284) 부산광역시 부산진구 부전로 75-5 3층 일부 
070-4416-1190
makesoon@naver.com
183,920 원
총44시간"
334,"한번에 따라잡는 4차산업 디지털 융합의 이해
(08389) 서울특별시 구로구 디지털로30길 28 (구로동 마리오타워) 5층 509호 
02-1544-6394
jvc@trisys.co.kr
92,070 원
총31시간"
335,"초보도 가능한 경리실무(지출증빙+원천징수+급여세금+부가가치세+종합소득세 ) A
(15360) 경기도 안산시 단원구 고잔2길 41 (고잔동 신양복합빌딩) 405~407호, 502호 
031-405-1255
ansan@himedia.co.kr
393,600 원
총60시간"
336,"만화로 보는 에피소드 경영학 - 자동차
(150972) 서울특별시 영등포구 경인로 775 에이스하이테크시티 2동 1004호 
02-2635-6790
fe98@epasskorea.com
50,490 원
총17시간"
337,"궁금타파! 핵심만 골라 배우는 비즈니스 경제지표
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
338,"[엑셀 2013] 비즈니스 엑셀 Basic
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
50,490 원
총17시간"
339,"팀워크 향상을 위한 새로운 조직문화, 공유리더십
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
340,"알기 쉬운 재무관리
(06640) 서울특별시 서초구 사임당로 64 (서초동 교대벤처타워) 401호 
02-525-0602
sachoi@learningfactory.co.kr
56,430 원
총19시간"
341,"엑셀로 배우는 알기쉬운 경영분석
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
342,"[파워포인트 2013] 비즈니스 파워포인트 Basic
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
47,520 원
총16시간"
343,"빅데이터 기초역량강화 - SQL 하둡 MongoDB 올인원 클래스
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
300,000 원
총41시간"
344,"초연결시대, 고객 경험을 디자인하라
(48443) 부산광역시 남구 수영로 269 (대연동 기아자동차부산지역본부) ,605호 
051-896-4525
acastar@acastar.co.kr
110,880 원
총18시간"
345,"핵심! 만화로 보는 맨큐의 경제학
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
50,490 원
총17시간"
346,"[회계스타] 개그맨 김승혜의 난생 처음 재무회계
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
110,000 원
총17시간"
347,"건축기사 실기(건축구조 및 공정품질, 건축적산, 건축시공)
(47331) 부산광역시 부산진구 대학로 3 601호 
070-4821-5101
kiedu@kiedu.co.kr
198,990 원
총67시간"
348,"[회계스타] 개그맨 김승혜의 흐름이 보이는 원가 및 관리회계
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
50,490 원
총17시간"
349,"친절한 파이썬 스쿨
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
65,340 원
총22시간"
350,"시설과 기관에서 바로 써먹는 사회복지 행정실무
(08507) 서울특별시 금천구 가산디지털1로 146 (가산동) 1004~1007호 
02-2059-1014
nami@myedu.or.kr
62,370 원
총21시간"
351,"마윈의 역설, 알리바바와 물구나무 경영 이야기
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
352,"궁금타파! 전사원이 알아야 할 비즈니스 세법기초
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
71,060 원
총17시간"
353,"해킹과 침투의 시대, 보안을 배우다
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
92,070 원
총31시간"
354,"[원패스] 사회복지사 1급 필기시험 대비 단과반(사회복지 정책론과 행정론)
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
204,930 원
총69시간"
355,"[한끝] 조주기능사 필기
(06755) 서울특별시 서초구 바우뫼로20길 8 다산빌딩 2층 204호,205호(양재동) 
02-6956-4130
oncampus00@gmail.com
68,310 원
총23시간"
356,"NEW 전산회계1급 종합반
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
246,510 원
총83시간"
357,"손해평가사 1차+2차 한끝패스 종합반
(47331) 부산광역시 부산진구 대학로 3 601호 
070-4821-5101
kiedu@kiedu.co.kr
258,390 원
총87시간"
358,"창의적 문제해결, 내 안의 아이디어를 춤추게 하라!
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
50,490 원
총17시간"
359,"ESG 혁명 대비전략-전사원을 교육하라!
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
360,"해킹과 침투의 시대, 보안을 배우다
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
92,070 원
총31시간"
361,"업무 능률을 높이는 데이터 분석
(03909) 서울특별시 마포구 매봉산로 37 (상암동 DMC 산학협력연구센터) 1005호 
02-929-5095
jgn@smartdongs.com
62,370 원
총21시간"
362,"비즈니스 정글에서 승리하는 영업마케팅 성공기
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
62,370 원
총21시간"
363,"4차 산업혁명의 본질과 미래
(08389) 서울특별시 구로구 디지털로30길 28 (구로동 마리오타워) 5층 509호 
02-1544-6394
jvc@trisys.co.kr
62,370 원
총21시간"
364,"[원패스] 컴퓨터활용능력 1급 올인원 (필기+실기)
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
255,420 원
총86시간"
365,"NEW 전기공사(산업)기사 필기
(05392) 서울특별시 강동구 성내동 풍성로 98 3층 
02-6433-5905
kjob3@hanmail.net
270,270 원
총51시간"
366,"영업비밀보호의 첫걸음 전사원을 교육하라!
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
62,370 원
총21시간"
367,"[원패스] 한 번에 끝내는 GTQ(그래픽기술자격) 1급 올인원 필기+실기
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
368,"비전공자도 쉽게 하는 Python 입문
(03909) 서울특별시 마포구 매봉산로 37 (상암동 DMC 산학협력연구센터) 1005호 
02-929-5095
jgn@smartdongs.com
50,490 원
총17시간"
369,"IEQ 인터넷윤리지도사 자격 취득하기
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
62,370 원
총21시간"
370,"실전! 소화기계 환자간호
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
62,370 원
총21시간"
371,"[원패스] 직업상담사 2급 필기 2(직업정보론+노동관계법규)
(47879) 부산광역시 동래구 충렬대로 276 청암빌딩 6층 
051-552-0809
usmart_edu@naver.com
95,040 원
총32시간"
372,"고영성의 북큐레이션, 명저로 보는 비즈니스 에센스
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
373,"전사원이 알아야 할 영업마인드 구축하기
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
71,060 원
총17시간"
374,"[오피스 2013] 실전 활용! 엑셀, 매크로, 파워포인트
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
59,400 원
총20시간"
375,"[반도체실무과정] 8대공정 : 노광 및 식각 공정
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
62,370 원
총21시간"
376,"[물류전문가양성코스] 자재재고관리와 물류개선
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
50,490 원
총17시간"
377,"병원경영의 효과적인 질관리
(03909) 서울특별시 마포구 매봉산로 37 (상암동 DMC 산학협력연구센터) 1005호 
02-929-5095
jgn@smartdongs.com
74,250 원
총25시간"
378,"[주거복지사] 사회복지개론과 실천론
(06693) 서울특별시 서초구 방배천로2길 15 (방배동) 오륜빌딩 5층 
02-533-6311
lim.kyoungil@etesys.co.kr
129,580 원
총31시간"
379,"기업가치 향상을 위한 재무관리 실무
(06640) 서울특별시 서초구 사임당로 64 (서초동 교대벤처타워) 401호 
02-525-0602
sachoi@learningfactory.co.kr
80,190 원
총27시간"
380,"[원패스] 국제무역사 1급 올인원
(14222) 경기도 광명시 시청로 7 (철산동) 404호, 405호, 406호 
02-1670-3401
mo905@nayanet.kr
163,350 원
총55시간"
381,"보통 직장인을 위한 비즈니스 역량 18가지
(08389) 서울특별시 구로구 디지털로30길 28 (구로동 마리오타워) 5층 509호 
02-1544-6394
jvc@trisys.co.kr
62,370 원
총21시간"
382,"4차 산업혁명 시대의 의료정보관리
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
92,070 원
총31시간"
383,"핵심만 콕 PLUS! 인사와 HRD
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
50,490 원
총17시간"
384,"공조냉동기계기사 필기2(공조냉동설계, 유지보수공사관리)
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
187,110 원
총63시간"
385,"[전산세무2급]단기속성합격 세무회계 자격증 및 경리실무
(03192) 서울특별시 종로구 수표로 96 (관수동 국일관드림펠리스) 2층, 5층 일부 그린컴퓨터아트학원 
02-722-2111
darker75@gmail.com
393,600 원
총60시간"
386,"[Global Thinking A to Z] 비즈니스 파트너 - 대내업무
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
62,370 원
총21시간"
387,"핵심! 만화로 보는 맨큐의 경제학
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
388,"지게차 운전기능사 자격취득 과정 [실기]
(11415) 경기도 양주시 백은로 485-31 
031-836-4114
kbo3501@gmail.com
572,800 원
총80시간"
389,"ITQ엑셀자격증
(02583) 서울특별시 동대문구 왕산로 60-1 (용두동) 포은빌딩 6,7층 
02-921-2020
d-2020@hanmail.net
180,000 원
총30시간"
390,"보통 직장인을 위한 데이터 분석
(08389) 서울특별시 구로구 디지털로30길 28 (구로동 마리오타워) 5층 509호 
02-1544-6394
jvc@trisys.co.kr
79,420 원
총19시간"
391,"메신저, 행동을 이끄는 리더의 언어
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
392,"(신)민법
(05392) 서울특별시 강동구 성내동 풍성로 98 3층 
02-6433-5905
kjob3@hanmail.net
317,680 원
총76시간"
393,"중간관리자 역량마스터, 성과를 리드하는 하이퍼포머로 거듭나라!
(48443) 부산광역시 남구 수영로 269 (대연동 기아자동차부산지역본부) ,605호 
051-896-4525
acastar@acastar.co.kr
60,000 원
총17시간"
394,"빅데이터의 개념이해와 분석역량강화
(08389) 서울특별시 구로구 디지털로30길 28 (구로동 마리오타워) 5층 509호 
02-1544-6394
jvc@trisys.co.kr
59,400 원
총20시간"
395,"핵심만 콕 PLUS! 물류관리와 물류혁신
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
50,490 원
총17시간"
396,"아는 만큼 코칭하는 기적의 성과관리
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
50,490 원
총17시간"
397,"금융인이 알아야 할 금융소비자보호
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
50,490 원
총17시간"
398,"[ICT 지식 큐브] 인공지능, 보안, 네트워크, 클라우드
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
74,250 원
총25시간"
399,"인공지능 기술과 산업별 실무적용 기법
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
87,780 원
총21시간"
400,"(최신)경비지도사 2차 종합반
(05392) 서울특별시 강동구 성내동 풍성로 98 3층 
02-6433-5905
kjob3@hanmail.net
127,710 원
총43시간"
401,"핵심만 콕 PLUS! 교육훈련과 사내강사 양성
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
50,490 원
총17시간"
402,"[한끝] 컴퓨터활용능력 2급 올인원 (필기 + 실기)
(06755) 서울특별시 서초구 바우뫼로20길 8 다산빌딩 2층 204호,205호(양재동) 
02-6956-4130
oncampus00@gmail.com
109,890 원
총37시간"
403,"만화로 배우는 왕초보 회계원리
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
404,"[핵집]전기(산업/공사/공사산업)기사_전력공학(필기)
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
77,220 원
총26시간"
405,"4차 산업혁명 시대의 새로운 비즈니스 모델
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
406,"3톤미만 지게차면허취득과정
(04382) 서울특별시 용산구 한강대로 132 (한강로2가) (실습장) 경기도 고양시 덕양구 관산동 47-1 (일부가동 1층대기실,야외실습지),관산동47-6,관산동 948 일부(관산동47-1번지선) 
02-796-2245
shk7136@naver.com
320,000 원
총22시간"
407,"비대면 시대! 스마트 비즈니스 커뮤니케이션
(08389) 서울특별시 구로구 디지털로30길 28 (구로동 마리오타워) 5층 509호 
02-1544-6394
jvc@trisys.co.kr
89,100 원
총30시간"
408,"업무에 통하는 포토샵 CS6
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
59,400 원
총20시간"
409,"의료종사자 직무필수핵심 의료법
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
129,580 원
총31시간"
410,"[ITQ]컴퓨터활용능력 사무OA실무(엑셀)자격증(실기)
(03192) 서울특별시 종로구 수표로 96 (관수동 국일관드림펠리스) 2층, 5층 일부 그린컴퓨터아트학원 
02-722-2111
darker75@gmail.com
234,000 원
총39시간"
411,"한 번에 합격하는 전산응용기계제도기능사(캐드, 인벤터)
(15360) 경기도 안산시 단원구 고잔2길 41 (고잔동 신양복합빌딩) 405~407호, 502호 
031-405-1255
ansan@himedia.co.kr
391,800 원
총60시간"
412,"비전공자의 웹개발 첫걸음! 자바스크립트 입문과정
(07668) 서울특별시 강서구 등촌로 183 (등촌동 세스빌딩) 602호 
02-702-2289
nambyeul@naver.com
203,500 원
총25시간"
413,"[핵집]전기(산업/공사/공사산업)기사_전기설비기술기준(필기)
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
86,130 원
총29시간"
414,"SNS마케팅(블로그,인스타그램,페이스북,유튜브)을 위한 포토샵 디자인
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
86,130 원
총29시간"
415,"인테리어필름실무과정
(08720) 서울특별시 관악구 봉천로 289 (봉천동 평화빌딩) 2층,3층 
02-883-5602
zero@zerofilm.co.kr
1,718,640 원
총240시간"
416,"[주거복지사] 주택관리기술
(06693) 서울특별시 서초구 방배천로2길 15 (방배동) 오륜빌딩 5층 
02-533-6311
lim.kyoungil@etesys.co.kr
129,580 원
총31시간"
417,"능력자의 잇템! 파워포인트 2016 +오피스 365
(14092) 경기도 안양시 만안구 문예로 35 익성빌딩 3층 
02-538-9745
info@joonganghrd.com
62,370 원
총21시간"
418,"소방설비(산업)기사 전기분야 필기 (구조 및 원리/소방전기)
(47331) 부산광역시 부산진구 대학로 3 601호 
070-4821-5101
kiedu@kiedu.co.kr
112,860 원
총38시간"
419,"[캐드] 실내건축설계 및 실내인테리어를 위한 CAD(2D도면작업)
(47331) 부산광역시 부산진구 대학로 3 601호 
070-4821-5101
kiedu@kiedu.co.kr
112,860 원
총38시간"
420,"상사의 YES를 부르는 최강 보고법
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
71,280 원
총24시간"
421,"핵심만 콕! 바로 쓰는 e커머스 사업기획
(06640) 서울특별시 서초구 사임당로 64 (서초동 교대벤처타워) 401호 
02-525-0602
sachoi@learningfactory.co.kr
50,490 원
총17시간"
422,"S.M.A.R.T 프레젠테이션, 단번에 청중을 사로잡는 설득 노하우
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
56,430 원
총19시간"
423,"디지털 융합의 중심-클라우드 BASIC!
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
92,070 원
총31시간"
424,"전기(산업)기사 실기(전기설비설계 및 운용, 수변전설비, 시퀀스 및 조명공학)
(08507) 서울특별시 금천구 가산디지털1로 146 (가산동) 1004~1007호 
02-2059-1014
nami@myedu.or.kr
181,170 원
총61시간"
425,"웹툰 스토리 제작 (시나리오, 콘티, 화면연출, 클립스튜디오)
(03780) 서울특별시 서대문구 신촌로 141 (대현동 위고인 호스텔) 1층 101호, 2층 201호, 202호, 203호, 4층 401호, 403호 
02-364-0008
dbsaudsh@nate.com
224,640 원
총36시간"
426,"[공통]소방설비(산업)기사 필기(소방원론/소방관계법규)
(47331) 부산광역시 부산진구 대학로 3 601호 
070-4821-5101
kiedu@kiedu.co.kr
201,960 원
총68시간"
427,"탁월한 성과를 이끌어내는 조직 코칭과 리더십 향상
(14118) 경기도 안양시 동안구 엘에스로 122 (호계동 호계 데시앙플렉스) 611호 
031-340-4111
cbk590@hanmail.net
190,960 원
총31시간"
428,"[핵심리더양성코스] 협상제안 리더십
(08389) 서울특별시 구로구 디지털로30길 28 (구로동 마리오타워) 5층 509호 
02-1544-6394
jvc@trisys.co.kr
50,490 원
총17시간"
429,"[원패스] 사회복지사 1급 필기시험 대비 단과반(사회복지 기초)
(06755) 서울특별시 서초구 바우뫼로20길 8 다산빌딩 2층 204호,205호(양재동) 
02-6956-4130
oncampus00@gmail.com
204,930 원
총69시간"
430,"사회복지사1급 대비반(기본이론)_v24
(03991) 서울특별시 마포구 연남로1길 44 (연남동) 3층 
02-333-1447
inno515@innoedu.kr
427,680 원
총144시간"
431,"[원패스] 전산회계 2급 종합반(필기+실기)
(14222) 경기도 광명시 시청로 7 (철산동) 404호, 405호, 406호 
02-1670-3401
mo905@nayanet.kr
103,950 원
총35시간"
432,"[오단기 2010~2019] 야근없는 직장생활을 위한 공대녀의 실전 엑셀-종합편
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
100,320 원
총24시간"
433,"성공 보고의 끝판왕, 스토리텔링 보고의 모든 것
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
50,490 원
총17시간"
434,"KBS 초특급 프로젝트 다큐 - 100년의 기업
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
50,490 원
총17시간"
435,"NEW 전사원의 업무능력 향상을 위한 기초세무
(08389) 서울특별시 구로구 디지털로30길 28 (구로동 마리오타워) 5층 509호 
02-1544-6394
jvc@trisys.co.kr
50,490 원
총17시간"
436,"[세무회계] 전산회계1급 자격증 취득 시험 대비 및 실무 능력 향상 과정
(21389) 인천광역시 부평구 부평대로 19-1 (부평동. 신도시프라자빌딩 6/9/10층) 
032-330-2111
wjs5893@nate.com
393,600 원
총60시간"
437,"핵심만 쏙쏙 전산세무2급 자격증 B
(15360) 경기도 안산시 단원구 고잔2길 41 (고잔동 신양복합빌딩) 405~407호, 502호 
031-405-1255
ansan@himedia.co.kr
393,600 원
총60시간"
438,"(신)유통관리사2급 종합반(이론+문제풀이)
(05392) 서울특별시 강동구 성내동 풍성로 98 3층 
02-6433-5905
kjob3@hanmail.net
412,830 원
총139시간"
439,"[NEW] 신용관리사
(47331) 부산광역시 부산진구 대학로 3 601호 
070-4821-5101
kiedu@kiedu.co.kr
127,710 원
총43시간"
440,"워크다이어트의 첫걸음, 업무 고정관념 탈출하기
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
77,220 원
총26시간"
441,"프로들만의 전략! Office 2010 파워포인트 활용하기
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
62,370 원
총21시간"
442,"만화로 배우는 알기쉬운 경영기초-관리회계
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
50,490 원
총17시간"
443,"Power BI를 활용한 시각화
(06640) 서울특별시 서초구 사임당로 64 (서초동 교대벤처타워) 401호 
02-525-0602
sachoi@learningfactory.co.kr
65,340 원
총22시간"
444,"바리스타 2급 자격 취득 과정 [속성반]
(04150) 서울특별시 마포구 대흥로 60 2층 
02-702-3233
blacktop_barista@naver.com
300,300 원
총39시간"
445,"(신)물류관리사 종합반 (이론+문제풀이)
(05392) 서울특별시 강동구 성내동 풍성로 98 3층 
02-6433-5905
kjob3@hanmail.net
255,420 원
총86시간"
446,"청소년상담사3급(이론+기출)(필수+청소년이해론)
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
415,800 원
총140시간"
447,"파이썬을 이용한 자동화 스크립트
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
77,220 원
총26시간"
448,"기업이윤 창출을 위한 원가회계
(08389) 서울특별시 구로구 디지털로30길 28 (구로동 마리오타워) 5층 509호 
02-1544-6394
jvc@trisys.co.kr
62,370 원
총21시간"
449,"[스킬업] 건설안전기사 필기 1편
(06640) 서울특별시 서초구 사임당로 64 (서초동 교대벤처타워) 401호 
02-525-0602
sachoi@learningfactory.co.kr
133,650 원
총45시간"
450,"3D프린팅 모델링 1급 자격 취득하기
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
92,070 원
총31시간"
451,"전산세무회계(전산회계1급,전산세무2급,TAT2급 더존 SmartA)_C
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
92,070 원
총31시간"
452,"NCS가 제시하는 적정진료 관리 및 보험급여 심사청구 실무
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
65,340 원
총22시간"
453,"(신)소방설비(산업)기사 기계분야 2차실기반
(05392) 서울특별시 강동구 성내동 풍성로 98 3층 
02-6433-5905
kjob3@hanmail.net
213,180 원
총51시간"
454,"[국가 드론자격증] 초경량비행장치 조종자 필기반
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
65,340 원
총22시간"
455,"알베르토와 함께하는 글로벌 비즈니스 매너
(48443) 부산광역시 남구 수영로 269 (대연동 기아자동차부산지역본부) ,605호 
051-896-4525
acastar@acastar.co.kr
66,880 원
총16시간"
456,"커피바리스타 자격증(2급) 취득 과정
(21050) 인천광역시 계양구 경명대로 1090 306호 이제이커피학원 
032-546-1214
candi96@naver.com
231,000 원
총30시간"
457,"파워포인트, 어렵지 않아요!
(06640) 서울특별시 서초구 사임당로 64 (서초동 교대벤처타워) 401호 
02-525-0602
sachoi@learningfactory.co.kr
62,370 원
총21시간"
458,"한국의 전통 떡
(53269) 경상남도 거제시 장평3로3길 8 2층 203호 
055-636-4209
kos2861@naver.com
265,200 원
총39시간"
459,"모두를 위한 데이터 분석 with Excel
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
100,000 원
총17시간"
460,"3D프린팅 모델링 2급 자격 취득하기
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
74,250 원
총25시간"
461,"수산가공 실무
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
50,490 원
총17시간"
462,"스마트 시대의 광고 마케팅
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
50,490 원
총17시간"
463,"전사원이 학습하는 사물인터넷과 4차산업의 미래
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
62,370 원
총21시간"
464,"스마트제조와 미래산업
(47297) 부산광역시 부산진구 전포대로199번길 15 (전포동 현대타워) 701호 
051-518-5255
runplus@hanmail.net
62,370 원
총21시간"
465,"[핵심리더양성코스] 동기부여 리더십
(10403) 경기도 고양시 일산동구 정발산로 24 T3- 703,704호(장항동, 웨스턴타워) 
031-908-1448
mjchoi@edupure.net
50,490 원
총17시간"
466,"온택트 시대의 소통하는 법
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
50,490 원
총17시간"
467,"애자일 프로젝트 실무(입문)
(06242) 서울특별시 강남구 역삼로3길 17 (역삼동) 혜진빌딩 7층 
02-6953-3893
winspec01@specupad.com
53,460 원
총18시간"
468,"ESG 혁명 대비전략-전사원을 교육하라!
(06640) 서울특별시 서초구 사임당로 64 (서초동 교대벤처타워) 401호 
02-525-0602
sachoi@learningfactory.co.kr
50,490 원
총17시간"
